hours_studied,previous_scores,extracurricular_activities,sleep_hours,sample_question_papers_practiced,performance_index,total_study_hours_proxy,g_avg
7,99,1,9,1,91.0,7.700000000000001,99
4,82,0,4,2,65.0,4.8,82
8,51,1,7,2,45.0,9.6,51
5,52,1,5,2,36.0,6.0,52
7,75,0,8,5,66.0,10.5,75
3,78,0,9,6,61.0,4.800000000000001,78
7,73,1,5,6,63.0,11.200000000000001,73
8,45,1,4,6,42.0,12.8,45
5,77,0,8,2,61.0,6.0,77
4,89,0,4,0,69.0,4.0,89
8,91,0,4,5,84.0,12.0,91
8,79,0,6,2,73.0,9.6,79
3,47,0,9,2,27.0,3.5999999999999996,47
6,47,0,4,2,33.0,7.199999999999999,47
5,79,0,7,8,68.0,9.0,79
2,72,0,4,3,43.0,2.6,72
8,73,1,8,4,67.0,11.2,73
6,83,1,7,2,70.0,7.199999999999999,83
2,54,1,4,9,30.0,3.8,54
5,75,0,7,0,63.0,5.0,75
1,99,1,4,3,71.0,1.3,99
6,96,0,9,0,85.0,6.0,96
9,74,1,7,6,73.0,14.4,74
1,85,0,5,6,57.0,1.6,85
3,61,0,6,3,35.0,3.9000000000000004,61
7,62,1,7,4,49.0,9.799999999999999,62
4,79,0,8,9,66.0,7.6,79
9,84,1,6,6,83.0,14.4,84
3,94,1,6,5,74.0,4.5,94
5,90,1,4,3,74.0,6.5,90
3,61,1,7,3,39.0,3.9000000000000004,61
7,44,1,9,1,36.0,7.700000000000001,44
5,70,1,6,9,58.0,9.5,70
9,52,1,8,1,47.0,9.9,52
7,67,1,9,3,60.0,9.1,67
2,97,1,9,4,74.0,2.8,97
4,59,0,8,3,42.0,5.2,59
9,72,0,8,2,68.0,10.799999999999999,72
2,55,1,4,1,32.0,2.2,55
9,68,0,5,3,64.0,11.700000000000001,68
5,62,0,7,4,45.0,7.0,62
2,63,1,6,0,39.0,2.0,63
4,73,1,7,0,58.0,4.0,73
7,46,0,9,5,36.0,10.5,46
8,77,1,6,4,71.0,11.2,77
3,76,1,4,3,54.0,3.9000000000000004,76
1,43,1,7,0,17.0,1.0,43
4,73,0,4,6,54.0,6.4,73
2,81,1,4,3,58.0,2.6,81
8,61,0,7,2,53.0,9.6,61
4,44,1,7,6,27.0,6.4,44
2,89,1,6,1,65.0,2.2,89
6,81,0,9,9,75.0,11.399999999999999,81
6,62,1,9,0,52.0,6.0,62
4,93,0,8,3,78.0,5.2,93
6,99,0,4,7,91.0,10.2,99
2,54,1,9,5,33.0,3.0,54
2,70,1,5,8,47.0,3.6,70
4,98,0,6,0,78.0,4.0,98
8,48,0,6,0,38.0,8.0,48
7,82,1,8,4,70.0,9.799999999999999,82
9,97,1,8,5,98.0,13.5,97
8,92,1,4,7,87.0,13.6,92
5,64,1,6,2,49.0,6.0,64
2,64,1,6,5,41.0,3.0,64
5,88,0,5,2,71.0,6.0,88
8,60,0,4,7,54.0,13.6,60
9,48,0,4,3,42.0,11.700000000000001,48
9,94,0,9,1,91.0,9.9,94
1,87,1,8,8,61.0,1.8,87
9,77,0,9,9,74.0,17.099999999999998,77
7,61,1,4,7,54.0,11.9,61
9,82,1,5,5,81.0,13.5,82
8,62,1,4,2,52.0,9.6,62
1,88,1,9,1,65.0,1.1,88
8,43,1,7,3,36.0,10.4,43
8,68,0,7,3,61.0,10.4,68
3,54,1,5,0,35.0,3.0,54
1,40,1,8,8,15.0,1.8,40
8,93,1,6,9,88.0,15.2,93
3,69,0,4,7,45.0,5.1,69
3,68,1,9,6,49.0,4.800000000000001,68
1,59,1,8,5,33.0,1.5,59
5,72,1,9,2,60.0,6.0,72
7,80,0,8,3,71.0,9.1,80
9,83,1,4,1,81.0,9.9,83
7,75,0,6,6,67.0,11.200000000000001,75
9,99,0,4,1,95.0,9.9,99
8,61,1,6,9,58.0,15.2,61
2,52,0,9,0,29.0,2.0,52
1,46,0,5,5,21.0,1.5,46
7,47,1,6,3,38.0,9.1,47
7,67,1,8,7,60.0,11.9,67
8,84,1,5,0,76.0,8.0,84
5,82,1,9,8,69.0,9.0,82
3,48,0,7,5,30.0,4.5,48
8,64,0,5,1,57.0,8.8,64
6,95,1,6,7,81.0,10.2,95
3,55,1,5,4,36.0,4.199999999999999,55
1,49,1,9,4,25.0,1.4,49
3,50,0,5,4,27.0,4.199999999999999,50
5,70,1,9,6,61.0,8.0,70
3,51,0,7,6,34.0,4.800000000000001,51
1,99,0,6,9,76.0,1.9,99
5,70,0,8,6,57.0,8.0,70
7,53,0,5,9,45.0,13.299999999999999,53
7,90,1,4,1,76.0,7.700000000000001,90
9,83,1,8,7,83.0,15.299999999999999,83
3,71,1,5,0,50.0,3.0,71
7,89,0,8,1,81.0,7.700000000000001,89
1,92,0,4,6,66.0,1.6,92
4,56,1,8,3,38.0,5.2,56
4,74,0,8,9,56.0,7.6,74
5,40,0,4,9,25.0,9.5,40
7,68,0,4,8,56.0,12.6,68
7,90,1,4,8,82.0,12.6,90
4,43,1,7,2,23.0,4.8,43
7,62,1,9,2,56.0,8.4,62
3,67,0,9,8,46.0,5.4,67
6,55,1,4,9,43.0,11.399999999999999,55
2,51,1,9,7,30.0,3.4,51
9,92,1,8,0,92.0,9.0,92
5,60,0,4,5,45.0,7.5,60
6,84,0,5,6,70.0,9.600000000000001,84
